"4JF37","5LE","","20020401","0"
"4JN43","5M1","","20020401","0"
"4JR87","5HQ","","20020401","0"
"4KG21","5H1","","20020401","0"
"4KK55","5F7","","20010401","0"
"4KN90","5J5","","20020401","0"
"4KP68","5A7","","20010401","0"
"4KV96","5LG","","20020401","0"
"4KX45","5M3","","20020401","0"
"4LF60","5HX","","20020401","0"
"4LH19","5HX","","20020401","0"
"4MD81","5HQ","","20020401","0"
"4MD87","5M7","","20020401","0"
"4ME36","5MV","","20020401","0"
"4MK43","5M3","","20020401","0"
"4MR58","5MD","","20020401","0"
"4MV07","5L3","","20020401","0"
"4MW82","5L1","","20020401","0"
"4MX32","5HG","","20020401","0"
"4NC36","5H8","","20020401","0"
"4NC42","5HP","","20020401","0"
"4NC70","5D7","","20010401","0"
"4ND41","5HX","","20020401","0"
"4NE48","5K7","","20020401","0"
"4NE66","5HG","","20020401","0"
"4NH25","5J2","","20020401","0"
"4NJ22","5K9","","20020401","0"
"4NJ39","5KG","","20020401","0"
"4NK73","5EF","","20010401","0"
"4NP19","5JE","","20020401","0"
"4NP98","5GC","","20010401","0"
"4NV06","5A8","","20010401","0"
"4NX44","5C9","","20010401","0"
"4PJ16","5K7","","20020401","0"
"4PL53","5LF","","20020401","0"
"4PM40","TAC","","20020401","0"
"4PN16","5AT","","20000401","0"
"4PN61","5H8","","20020401","0"
"4PP02","5LA","","20020401","0"
"4PQ79","5LE","","20020401","0"
"4QA49","5JX","","20020401","0"
"4QG26","5AT","","20000401","0"
"4QL75","5HQ","","20020401","0"
"4QP36","5E1","","20010401","0"
"4QR39","5LC","","20020401","0"
"4QT28","5C5","","20010401","0"
"4QW35","5KL","","20020401","0"
"4RA46","5LG","","20020401","0"
"4RA46","5M7","","20020401","0"
"4RA63","5LG","","20020401","0"
"4RJ84","5M8","","20020401","0"
"4RK71","5FE","","20010401","0"
"4RL40","5D8","","20010401","0"
"4RM35","5M6","","20020401","0"
"4RN72","5J2","","20020401","0"
"4RP19","5H1","","20020401","0"
"4RW53","5C3","","20010401","0"
"4RY67","5H8","","20020401","0"
"4TA74","5MD","","20020401","0"
"4TE32","5K8","","20020401","0"
"4TE61","5K8","","20020401","0"
"4TY35","5K6","","20020401","0"
"4VA42","5C2","","20010401","0"
"4VE05","5K9","","20020401","0"
"4VE92","5J6","","20020401","0"
"4VQ89","5K6","","20020401","0"
"4VR02","5A3","","20010401","0"
"4VW19","5EM","","20010401","0"
"4XC14","5C1","","20010401","0"
"4XD10","5A9","","20010401","0"
"4XH63","5CC","","20001001","1"
"4XJ66","5F7","","20010401","0"
"4XR89","5C1","","20010401","0"
"4XW97","5K5","","20020401","0"
"4XX64","5AT","","20000401","0"
"4YA80","5LQ","","20020401","0"
"4YA87","TAC","","20020401","0"
"4YC24","5A4","","20010401","0"
"4YC75","5D8","","20010401","0"
"4YD16","5F1","","20010401","0"
"4YD40","TAC","","20020401","0"
"4YE05","5HY","","20020401","0"
"4YG96","5A7","","20010401","0"
"4YJ26","5C1","","20010401","0"
"4YK64","TAC","","20020401","0"
"4YL81","5A3","","20010401","0"
"4YM62","5F5","","20010401","0"
"4YR99","5A7","","20010401","0"
"4YV57","5MX","","20020401","0"
"4YX30","5MD","","20020401","0"
"4YX78","5CN","","20001001","0"
"4YY24","5J4","","20020401","0"
"4YY42","5LD","","20020401","0"
"501","507","","19970401","0"
"501","506","","19970401","0"
"502","509","","19970401","0"
"502","510","","19970401","0"
"502","508","","19970401","0"
"504","Z9D4Z","","20210401","0"
"504","U6Q5Z","","20210401","0"
"505","511","","19980401","0"
"505","512","","19980401","0"
"5A1","5QC","","20061001","0"
"5A101","5QCQ2","","20061001","0"
"5A102","5QCQ5","","20061001","0"
"5A103","5QCQ6","","20061001","0"
"5A104","5QCQ8","","20061001","0"
"5A105","5QCQ9","","20061001","0"
"5A106","5QCR1","","20061001","0"
"5A107","5QCR3","","20061001","0"
"5A108","5QCV7","","20061001","0"
